model,request_file,thinking_level,thinking_budget,traffic_type,project,location,iterations,ttft_min_ms,ttft_p50_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,ttft_max_ms,input_tokens_min,input_tokens_p50,input_tokens_p90,input_tokens_p95,input_tokens_p99,input_tokens_max,output_tokens_min,output_tokens_p50,output_tokens_p90,output_tokens_p95,output_tokens_p99,output_tokens_max,cached_tokens_min,cached_tokens_p50,cached_tokens_p90,cached_tokens_p95,cached_tokens_p99,cached_tokens_max,thinking_tokens_min,thinking_tokens_p50,thinking_tokens_p90,thinking_tokens_p95,thinking_tokens_p99,thinking_tokens_max,source_json
gemini-3.5-flash,/home/wangez/llm-eval-toolkits/slow_request_40s.json,minimal,,TrafficType.ON_DEMAND,cloud-llm-preview1,us,10,9670.93,19177.19,55697.89,57897.42,59657.04,60096.94,23676,23676,23676,23676,23676,23676,10,28,4605,4619,4630,4633,0,22422,22422,22422,22422,22422,2052,4698,10249,10270,10287,10291,json_results_20260528_070310/gemini-3_5-flash_slow_request_40s_level_minimal_20260528_070310.json
gemini-3.5-flash,/home/wangez/llm-eval-toolkits/slow_request_40s.json,low,,TrafficType.ON_DEMAND,cloud-llm-preview1,us,10,10117.11,17280.00,30530.16,31216.25,31765.12,31902.34,23676,23676,23676,23676,23676,23676,27,28,34,37,40,41,0,22422,22422,22422,22422,22422,2392,4135,7708,7907,8066,8106,json_results_20260528_070310/gemini-3_5-flash_slow_request_40s_level_low_20260528_070310.json
gemini-3.5-flash,/home/wangez/llm-eval-toolkits/slow_request_40s.json,medium,,TrafficType.ON_DEMAND,cloud-llm-preview1,us,10,1637.67,13724.02,19965.01,20224.98,20432.96,20484.96,23676,23676,23676,23676,23676,23676,23,28,31,32,33,33,0,22422,22422,22422,22422,22422,213,3332,4816,4860,4895,4904,json_results_20260528_070310/gemini-3_5-flash_slow_request_40s_level_medium_20260528_070310.json
gemini-3.5-flash,/home/wangez/llm-eval-toolkits/slow_request_40s.json,high,,TrafficType.ON_DEMAND,cloud-llm-preview1,us,10,8019.28,14942.03,19092.09,19517.23,19857.35,19942.38,23676,23676,23676,23676,23676,23676,26,28,31,31,31,31,0,22422,22422,22422,22422,22422,1847,3599,4722,5129,5454,5535,json_results_20260528_070310/gemini-3_5-flash_slow_request_40s_level_high_20260528_070310.json
gemini-3.5-flash,/home/wangez/llm-eval-toolkits/slow_request_40s.json,,,TrafficType.ON_DEMAND,cloud-llm-preview1,us,10,12074.85,20116.13,34670.85,34847.83,34989.41,35024.80,23676,23676,23676,23676,23676,23676,23,28,31,31,31,31,22422,22422,22422,22422,22422,22422,2997,4474,8811,8961,9080,9110,json_results_20260528_070310/gemini-3_5-flash_slow_request_40s_20260528_070310.json
gemini-3.5-flash,/home/wangez/llm-eval-toolkits/slow_request_60s.json,minimal,,TrafficType.ON_DEMAND,cloud-llm-preview1,us,10,10564.94,18433.51,25970.61,26457.79,26847.54,26944.97,94852,94852,94852,94852,94852,94852,26,806,1119,1739,2235,2359,0,89580,89580,89580,89580,89580,1432,2457,3223,3254,3280,3286,json_results_20260528_070310/gemini-3_5-flash_slow_request_60s_level_minimal_20260528_070310.json
gemini-3.5-flash,/home/wangez/llm-eval-toolkits/slow_request_60s.json,low,,TrafficType.ON_DEMAND,cloud-llm-preview1,us,10,7502.79,11227.58,38931.42,113374.22,172928.47,187817.03,94852,94852,94852,94852,94852,94852,32,565,1263,1646,1952,2029,0,89580,89580,89580,89580,89580,68,1322,8735,35823,57494,62912,json_results_20260528_070310/gemini-3_5-flash_slow_request_60s_level_low_20260528_070310.json
gemini-3.5-flash,/home/wangez/llm-eval-toolkits/slow_request_60s.json,medium,,TrafficType.ON_DEMAND,cloud-llm-preview1,us,10,10918.57,19782.60,39184.02,40590.74,41716.11,41997.46,94852,94852,94852,94852,94852,94852,30,936,1450,1852,2174,2254,89580,89580,89580,89580,89580,89580,994,2464,4690,5403,5973,6115,json_results_20260528_070310/gemini-3_5-flash_slow_request_60s_level_medium_20260528_070310.json
gemini-3.5-flash,/home/wangez/llm-eval-toolkits/slow_request_60s.json,high,,TrafficType.ON_DEMAND,cloud-llm-preview1,us,10,8932.79,17062.58,45445.15,119694.47,179093.93,193943.79,94852,94852,94852,94852,94852,94852,30,216,1065,1155,1227,1245,0,89580,89580,89580,89580,89580,366,3264,10919,36917,57715,62915,json_results_20260528_070310/gemini-3_5-flash_slow_request_60s_level_high_20260528_070310.json
gemini-3.5-flash,/home/wangez/llm-eval-toolkits/slow_request_60s.json,,,TrafficType.ON_DEMAND,cloud-llm-preview1,us,10,2127.02,21353.19,27716.86,30505.32,32736.09,33293.79,94852,94852,94852,94852,94852,94852,30,117,716,750,776,783,89580,89580,89580,89580,89580,89580,124,3286,4687,4706,4720,4724,json_results_20260528_070310/gemini-3_5-flash_slow_request_60s_20260528_070310.json
gemini-3.5-flash,/home/wangez/llm-eval-toolkits/slow_request_40s.json,minimal,,TrafficType.ON_DEMAND,cloud-llm-preview1,eu,10,10146.40,16337.05,27010.36,27018.00,27024.11,27025.64,23676,23676,23676,23676,23676,23676,27,28,66,140,198,213,0,22422,22422,22422,22422,22422,2151,3517,6527,6661,6769,6796,json_results_20260528_070311/gemini-3_5-flash_slow_request_40s_level_minimal_20260528_070311.json
gemini-3.5-flash,/home/wangez/llm-eval-toolkits/slow_request_40s.json,low,,TrafficType.ON_DEMAND,cloud-llm-preview1,eu,10,2790.03,15773.35,18460.23,19699.90,20691.63,20939.57,23676,23676,23676,23676,23676,23676,28,31,37,39,41,41,0,22422,22422,22422,22422,22422,413,4018,4756,4973,5147,5190,json_results_20260528_070311/gemini-3_5-flash_slow_request_40s_level_low_20260528_070311.json
gemini-3.5-flash,/home/wangez/llm-eval-toolkits/slow_request_40s.json,medium,,TrafficType.ON_DEMAND,cloud-llm-preview1,eu,10,8977.98,15921.41,23624.86,28341.11,32114.11,33057.36,23676,23676,23676,23676,23676,23676,27,28,33,40,45,46,0,22422,22422,22422,22422,22422,1850,3294,5464,6359,7075,7254,json_results_20260528_070311/gemini-3_5-flash_slow_request_40s_level_medium_20260528_070311.json
gemini-3.5-flash,/home/wangez/llm-eval-toolkits/slow_request_40s.json,high,,TrafficType.ON_DEMAND,cloud-llm-preview1,eu,10,11152.20,18142.15,20963.11,24007.19,26442.46,27051.27,23676,23676,23676,23676,23676,23676,27,28,31,31,31,31,0,22422,22422,22422,22422,22422,2813,4592,5497,6463,7235,7428,json_results_20260528_070311/gemini-3_5-flash_slow_request_40s_level_high_20260528_070311.json
gemini-3.5-flash,/home/wangez/llm-eval-toolkits/slow_request_40s.json,,,TrafficType.ON_DEMAND,cloud-llm-preview1,eu,10,10111.29,18988.50,30350.60,38112.11,44321.32,45873.62,23676,23676,23676,23676,23676,23676,23,28,41,45,49,50,0,22422,22422,22422,22422,22422,2459,4402,6760,8717,10283,10674,json_results_20260528_070311/gemini-3_5-flash_slow_request_40s_20260528_070311.json
gemini-3.5-flash,/home/wangez/llm-eval-toolkits/slow_request_60s.json,minimal,,TrafficType.ON_DEMAND,cloud-llm-preview1,eu,10,7507.05,20637.63,25554.53,26368.95,27020.49,27183.38,94852,94852,94852,94852,94852,94852,30,1288,2108,2177,2232,2246,0,89580,89580,89580,89580,89580,858,2908,3602,3722,3819,3843,json_results_20260528_070311/gemini-3_5-flash_slow_request_60s_level_minimal_20260528_070311.json
gemini-3.5-flash,/home/wangez/llm-eval-toolkits/slow_request_60s.json,low,,TrafficType.ON_DEMAND,cloud-llm-preview1,eu,10,3949.82,14750.69,21021.41,21694.01,22232.10,22366.62,94852,94852,94852,94852,94852,94852,31,445,1860,2034,2173,2208,0,89580,89580,89580,89580,89580,218,1500,2680,2706,2728,2733,json_results_20260528_070311/gemini-3_5-flash_slow_request_60s_level_low_20260528_070311.json
gemini-3.5-flash,/home/wangez/llm-eval-toolkits/slow_request_60s.json,medium,,TrafficType.ON_DEMAND,cloud-llm-preview1,eu,10,5026.16,16214.11,20549.60,22234.03,23581.58,23918.46,94852,94852,94852,94852,94852,94852,32,322,955,959,962,963,0,89580,89580,89580,89580,89580,450,2430,3139,3361,3538,3582,json_results_20260528_070311/gemini-3_5-flash_slow_request_60s_level_medium_20260528_070311.json
gemini-3.5-flash,/home/wangez/llm-eval-toolkits/slow_request_60s.json,high,,TrafficType.ON_DEMAND,cloud-llm-preview1,eu,10,9786.61,16040.90,37489.25,105421.67,159767.61,173354.09,94852,94852,94852,94852,94852,94852,31,34,624,815,968,1006,0,89580,89580,89580,89580,89580,1550,2626,9296,36106,57554,62916,json_results_20260528_070311/gemini-3_5-flash_slow_request_60s_level_high_20260528_070311.json
gemini-3.5-flash,/home/wangez/llm-eval-toolkits/slow_request_60s.json,,,TrafficType.ON_DEMAND,cloud-llm-preview1,eu,10,2271.29,24151.60,44699.81,96023.69,137082.80,147347.58,94852,94852,94852,94852,94852,94852,32,622,1118,1757,2268,2396,0,89580,89580,89580,89580,89580,42,4134,11371,37140,57756,62910,json_results_20260528_070311/gemini-3_5-flash_slow_request_60s_20260528_070311.json
